epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,441.517,1.67446,3.01697,0.26178,1.57205,1.34653,0.33554,0.19981,0.19275,0.06583,0.31813,0.19246,0.17909,0.08363,2.19318,4.70608,0.09196,2.17416,1.68043,0.000996313,0.000996313,0.000996313
43,448.472,1.63823,3.05241,0.28185,1.62098,1.35398,0.24427,0.26685,0.1965,0.06685,0.24838,0.27136,0.20266,0.10907,2.29674,4.40224,0.09748,2.21381,1.75864,0.000990125,0.000990125,0.000990125
44,457.161,1.66205,2.95421,0.23435,1.5785,1.32657,0.16387,0.29564,0.12226,0.0549,0.18152,0.33866,0.12951,0.07534,2.30768,4.35539,0.09777,2.34327,1.79913,0.000983938,0.000983938,0.000983938
45,463.528,1.65256,2.9373,0.28059,1.61206,1.3635,0.16387,0.29564,0.12226,0.0549,0.18152,0.33866,0.12951,0.07534,2.30768,4.35539,0.09777,2.34327,1.79913,0.00097775,0.00097775,0.00097775
46,472.085,1.60463,2.99209,0.26069,1.57469,1.32905,0.14682,0.2477,0.1069,0.04607,0.1344,0.23878,0.09658,0.05609,2.23803,4.63559,0.08856,2.20447,1.69029,0.000971562,0.000971562,0.000971562
47,482.664,1.56145,2.85786,0.24089,1.56771,1.30625,0.15594,0.24789,0.11385,0.04995,0.14539,0.25393,0.10924,0.06418,2.18092,4.40285,0.09138,2.10963,1.66601,0.000965375,0.000965375,0.000965375
48,498.869,1.6378,2.95346,0.25325,1.58646,1.34748,0.15594,0.24789,0.11385,0.04995,0.14539,0.25393,0.10924,0.06418,2.18092,4.40285,0.09138,2.10963,1.66601,0.000959187,0.000959187,0.000959187
49,506.562,1.61107,2.95128,0.26621,1.55617,1.30794,0.13392,0.29809,0.12149,0.05656,0.14018,0.36497,0.11999,0.05869,2.06163,4.40109,0.08615,2.0436,1.64047,0.000953,0.000953,0.000953
50,521.991,1.59464,3.01826,0.25741,1.56036,1.28663,0.13392,0.29809,0.12149,0.05656,0.14018,0.36497,0.11999,0.05869,2.06163,4.40109,0.08615,2.0436,1.64047,0.000946812,0.000946812,0.000946812
51,538.203,1.63942,2.95176,0.27109,1.56046,1.35012,0.16985,0.29712,0.13711,0.06442,0.22796,0.36669,0.17406,0.08526,2.11438,4.3515,0.08362,2.01641,1.67646,0.000940625,0.000940625,0.000940625
52,548.181,1.57601,2.69739,0.24,1.48213,1.3054,0.2798,0.33581,0.19052,0.08102,0.25674,0.30928,0.20693,0.11049,2.10074,4.30304,0.08427,1.97606,1.66908,0.000934438,0.000934438,0.000934438
53,563.24,1.5823,2.86542,0.23159,1.50624,1.30355,0.2798,0.33581,0.19052,0.08102,0.25674,0.30928,0.20693,0.11049,2.10074,4.30304,0.08427,1.97606,1.66908,0.00092825,0.00092825,0.00092825
54,572.6,1.51944,2.67864,0.23258,1.43214,1.25324,0.33982,0.27856,0.21542,0.09359,0.23897,0.31094,0.19783,0.11225,2.08046,4.56518,0.08239,1.99695,1.68122,0.000922063,0.000922063,0.000922063
55,586.002,1.52811,2.70569,0.2442,1.54551,1.29002,0.41092,0.21161,0.23575,0.09827,0.24586,0.24619,0.15819,0.09429,2.17389,4.58882,0.08195,2.00801,1.76452,0.000915875,0.000915875,0.000915875
56,594.948,1.49909,2.55553,0.22166,1.46864,1.27506,0.41092,0.21161,0.23575,0.09827,0.24586,0.24619,0.15819,0.09429,2.17389,4.58882,0.08195,2.00801,1.76452,0.000909688,0.000909688,0.000909688
57,602.638,1.54096,2.55614,0.24268,1.45643,1.29384,0.29653,0.21382,0.22618,0.09871,0.32633,0.25322,0.25258,0.15095,2.16647,4.4671,0.08603,1.96105,1.71664,0.0009035,0.0009035,0.0009035
58,610.832,1.59964,2.78649,0.25388,1.48495,1.29425,0.29653,0.21382,0.22618,0.09871,0.32633,0.25322,0.25258,0.15095,2.16647,4.4671,0.08603,1.96105,1.71664,0.000897313,0.000897313,0.000897313
59,619.733,1.49863,2.45672,0.21898,1.36772,1.23754,0.2349,0.22725,0.22909,0.09655,0.31772,0.24935,0.23383,0.13654,2.12153,4.5193,0.0849,1.95355,1.67299,0.000891125,0.000891125,0.000891125
60,626.721,1.49453,2.55857,0.28421,1.42902,1.28567,0.2831,0.29741,0.19377,0.09172,0.26396,0.31806,0.23566,0.14475,2.10845,4.19911,0.08354,1.92764,1.67831,0.000884938,0.000884938,0.000884938
61,640.141,1.51845,2.53574,0.26082,1.44204,1.28245,0.2831,0.29741,0.19377,0.09172,0.26396,0.31806,0.23566,0.14475,2.10845,4.19911,0.08354,1.92764,1.67831,0.00087875,0.00087875,0.00087875
