epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,368.068,1.20327,1.64583,0.21097,1.00046,1.08177,0.33551,0.24418,0.23242,0.10601,0.35535,0.25913,0.23836,0.14254,2.11447,4.11825,0.11701,2.26373,1.77661,0.000810688,0.000810688,0.000810688
73,372.596,1.15979,1.58542,0.19837,0.95351,1.06846,0.33551,0.24418,0.23242,0.10601,0.35535,0.25913,0.23836,0.14254,2.11447,4.11825,0.11701,2.26373,1.77661,0.0008045,0.0008045,0.0008045
74,376.713,1.14092,1.55724,0.20258,0.94705,1.08211,0.42624,0.22008,0.23051,0.1114,0.41406,0.23199,0.22169,0.10476,2.06233,3.91186,0.12023,2.28016,1.71096,0.000798313,0.000798313,0.000798313
75,381.069,1.13252,1.5609,0.23717,0.95171,1.07336,0.33397,0.20904,0.22641,0.10521,0.3565,0.24265,0.23651,0.11777,2.0742,3.83945,0.12825,2.33718,1.7011,0.000792125,0.000792125,0.000792125
76,386.236,1.12565,1.40511,0.20889,0.93925,1.08671,0.22764,0.26717,0.18091,0.0911,0.23221,0.27393,0.2189,0.13187,2.10427,3.89881,0.14292,2.46012,1.69719,0.000785938,0.000785938,0.000785938
77,390.644,1.09181,1.42239,0.20476,0.93061,1.04977,0.22764,0.26717,0.18091,0.0911,0.23221,0.27393,0.2189,0.13187,2.10427,3.89881,0.14292,2.46012,1.69719,0.00077975,0.00077975,0.00077975
78,394.76,1.20589,1.70883,0.20347,1.00663,1.09047,0.21684,0.27113,0.20683,0.08775,0.28285,0.2493,0.22308,0.15125,2.15672,3.9425,0.12961,2.42308,1.73533,0.000773563,0.000773563,0.000773563
79,399.055,1.08669,1.46228,0.22033,0.93831,1.06314,0.29276,0.23627,0.16705,0.07521,0.29968,0.25054,0.22115,0.11779,2.12829,3.9547,0.11349,2.36866,1.74103,0.000767375,0.000767375,0.000767375
80,404.217,1.16854,1.65317,0.21632,0.9773,1.09673,0.21474,0.28367,0.20066,0.07874,0.25889,0.20958,0.16183,0.08901,2.13933,4.05672,0.11498,2.44217,1.7902,0.000761188,0.000761188,0.000761188
81,408.338,1.07169,1.36268,0.20327,0.92714,1.05085,0.21474,0.28367,0.20066,0.07874,0.25889,0.20958,0.16183,0.08901,2.13933,4.05672,0.11498,2.44217,1.7902,0.000755,0.000755,0.000755
82,412.393,1.07514,1.43856,0.22018,0.88136,1.04972,0.22716,0.29962,0.20812,0.08119,0.22513,0.27035,0.14986,0.07686,2.18122,4.00191,0.13069,2.35912,1.80668,0.000748813,0.000748813,0.000748813
83,416.72,1.06488,1.39726,0.21077,0.87499,1.03827,0.27656,0.29796,0.16578,0.08615,0.3077,0.28434,0.21817,0.10504,2.07439,3.99259,0.14146,2.3156,1.71859,0.000742625,0.000742625,0.000742625
84,421.839,1.1108,1.47589,0.1859,0.91697,1.06051,0.26819,0.22839,0.17322,0.08615,0.31164,0.291,0.21935,0.11297,2.0902,3.95166,0.13549,2.27514,1.74157,0.000736438,0.000736438,0.000736438
85,426.022,1.08707,1.45132,0.18319,0.87172,1.03284,0.26819,0.22839,0.17322,0.08615,0.31164,0.291,0.21935,0.11297,2.0902,3.95166,0.13549,2.27514,1.74157,0.00073025,0.00073025,0.00073025
86,430.092,1.10516,1.53248,0.18477,0.88247,1.05447,0.29017,0.30903,0.21299,0.08481,0.2351,0.30742,0.17877,0.10621,2.14431,4.0081,0.1238,2.28817,1.76533,0.000724062,0.000724062,0.000724062
87,434.373,1.03769,1.37671,0.20329,0.85348,1.02403,0.30516,0.29049,0.19583,0.09146,0.24463,0.29762,0.15457,0.09647,2.11339,3.97519,0.11815,2.32514,1.73502,0.000717875,0.000717875,0.000717875
88,439.529,1.05358,1.45434,0.18961,0.84307,1.03323,0.20914,0.27784,0.18999,0.09371,0.23348,0.27721,0.15908,0.09481,2.06732,3.91326,0.11129,2.37801,1.72341,0.000711687,0.000711687,0.000711687
89,443.898,1.04981,1.37719,0.19387,0.84927,1.03947,0.20914,0.27784,0.18999,0.09371,0.23348,0.27721,0.15908,0.09481,2.06732,3.91326,0.11129,2.37801,1.72341,0.0007055,0.0007055,0.0007055
90,447.998,1.06787,1.40715,0.21497,0.89701,1.0431,0.37075,0.22647,0.21427,0.09411,0.29798,0.18872,0.13937,0.07909,2.09153,4.03959,0.11282,2.38139,1.77911,0.000699312,0.000699312,0.000699312
91,452.383,1.03935,1.32042,0.20238,0.84072,1.04941,0.31034,0.22576,0.20887,0.0908,0.21053,0.22206,0.14505,0.08082,2.05534,4.07377,0.11851,2.23721,1.74211,0.000693125,0.000693125,0.000693125
92,457.511,1.05309,1.47747,0.19962,0.83503,1.04697,0.42206,0.20125,0.21763,0.10264,0.27529,0.21406,0.16283,0.09971,2.039,3.93175,0.12235,2.25219,1.72567,0.000686937,0.000686937,0.000686937
93,461.557,1.00471,1.26382,0.19393,0.80828,1.01109,0.42206,0.20125,0.21763,0.10264,0.27529,0.21406,0.16283,0.09971,2.039,3.93175,0.12235,2.25219,1.72567,0.00068075,0.00068075,0.00068075
94,465.641,1.01688,1.33343,0.20303,0.83445,1.02646,0.25814,0.20741,0.18957,0.09607,0.27124,0.2546,0.17261,0.10752,2.03863,3.81048,0.1196,2.26649,1.70625,0.000674562,0.000674562,0.000674562
95,470.016,1.03938,1.32747,0.18975,0.80283,1.02548,0.34198,0.2136,0.19877,0.09313,0.35624,0.23285,0.16735,0.09888,2.06397,3.82304,0.12089,2.31508,1.73006,0.000668375,0.000668375,0.000668375
96,475.402,0.9982,1.23408,0.18985,0.78226,1.03204,0.38427,0.27701,0.22652,0.10252,0.24581,0.33641,0.16171,0.0913,2.0344,3.79556,0.1198,2.38857,1.6839,0.000662188,0.000662188,0.000662188
97,479.487,0.97722,1.29328,0.19284,0.77175,0.99983,0.38427,0.27701,0.22652,0.10252,0.24581,0.33641,0.16171,0.0913,2.0344,3.79556,0.1198,2.38857,1.6839,0.000656,0.000656,0.000656
98,483.503,0.98738,1.27653,0.20055,0.77761,1.00635,0.30392,0.32748,0.22664,0.10485,0.28846,0.31669,0.15807,0.08764,2.02051,3.86713,0.11622,2.40045,1.69302,0.000649813,0.000649813,0.000649813
99,487.765,0.97862,1.32566,0.19963,0.78614,0.99851,0.36497,0.28885,0.22246,0.10248,0.3077,0.24884,0.17264,0.10541,2.07594,3.85523,0.11483,2.36836,1.73796,0.000643625,0.000643625,0.000643625
100,492.957,0.97335,1.2263,0.19339,0.76761,1.01806,0.31429,0.27098,0.2248,0.09957,0.23738,0.24949,0.14608,0.09756,2.08301,3.75321,0.11415,2.34582,1.71804,0.000637437,0.000637437,0.000637437
101,496.987,1.01615,1.25509,0.17362,0.76579,1.00136,0.31429,0.27098,0.2248,0.09957,0.23738,0.24949,0.14608,0.09756,2.08301,3.75321,0.11415,2.34582,1.71804,0.00063125,0.00063125,0.00063125
102,501.041,0.96102,1.18659,0.18862,0.74034,1.00874,0.34267,0.27166,0.23086,0.11169,0.25603,0.32806,0.19693,0.13149,2.07218,3.67683,0.11839,2.28421,1.7203,0.000625062,0.000625062,0.000625062
103,505.425,1.02595,1.36916,0.18273,0.78267,1.01149,0.41749,0.24962,0.24178,0.10995,0.26677,0.39018,0.23937,0.14119,2.01365,3.62047,0.12068,2.21928,1.69664,0.000618875,0.000618875,0.000618875
104,510.757,0.96514,1.18625,0.18694,0.75798,1.0026,0.41357,0.25471,0.24693,0.12124,0.24654,0.35076,0.20017,0.11703,2.09086,3.7458,0.12477,2.21745,1.73466,0.000612687,0.000612687,0.000612687
105,515.088,1.03544,1.3124,0.16489,0.74788,1.01206,0.41357,0.25471,0.24693,0.12124,0.24654,0.35076,0.20017,0.11703,2.09086,3.7458,0.12477,2.21745,1.73466,0.0006065,0.0006065,0.0006065
106,520.93,0.99502,1.24849,0.19228,0.76787,1.03177,0.38834,0.24541,0.24056,0.11981,0.28939,0.20619,0.1737,0.10338,2.09872,3.83322,0.12663,2.24733,1.74098,0.000600313,0.000600313,0.000600313
107,526.108,0.95386,1.19662,0.19627,0.73308,1.00539,0.36681,0.21279,0.2175,0.11529,0.22278,0.25585,0.15444,0.09374,2.03265,3.87346,0.12856,2.32732,1.70387,0.000594125,0.000594125,0.000594125
108,530.768,0.9839,1.25681,0.18163,0.76011,1.0079,0.35276,0.23471,0.20778,0.10312,0.30145,0.24267,0.1853,0.1131,2.00919,3.89123,0.13115,2.38399,1.68807,0.000587938,0.000587938,0.000587938
109,534.791,0.99248,1.2092,0.18489,0.75368,1.00171,0.35276,0.23471,0.20778,0.10312,0.30145,0.24267,0.1853,0.1131,2.00919,3.89123,0.13115,2.38399,1.68807,0.00058175,0.00058175,0.00058175
110,539.228,0.969,1.20703,0.20401,0.75284,1.00775,0.3774,0.22258,0.20357,0.08642,0.36507,0.24139,0.18493,0.11381,2.11019,3.96856,0.13828,2.42674,1.77523,0.000575563,0.000575563,0.000575563
111,544.451,0.99168,1.28981,0.18262,0.76136,1.01819,0.36721,0.219,0.2027,0.07842,0.3816,0.24201,0.21072,0.12109,2.14947,4.07118,0.14829,2.43179,1.80065,0.000569375,0.000569375,0.000569375
112,548.801,0.9398,1.13822,0.18984,0.71318,0.97977,0.33723,0.25321,0.21005,0.09251,0.26955,0.20173,0.17253,0.11738,2.10432,4.06933,0.16008,2.41637,1.74662,0.000563187,0.000563187,0.000563187
