epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,597.63,1.27785,1.90129,0.22538,0.99762,1.10809,0.33363,0.25317,0.18371,0.06976,0.32472,0.23003,0.16434,0.08654,2.26733,4.34539,0.11338,2.03688,1.75776,0.000773563,0.000773563,0.000773563
79,603.015,1.20099,1.87508,0.22175,1.00409,1.10976,0.27644,0.25879,0.17421,0.06854,0.4381,0.21836,0.20327,0.09503,2.22154,4.23666,0.11419,2.12174,1.71151,0.000767375,0.000767375,0.000767375
80,607.37,1.21666,1.79397,0.21819,0.96212,1.09434,0.33712,0.19366,0.15796,0.07219,0.43377,0.2784,0.26175,0.14872,2.18441,4.21548,0.11426,2.15002,1.68393,0.000761188,0.000761188,0.000761188
81,611.853,1.15341,1.6117,0.225,0.94244,1.07758,0.29536,0.27296,0.16895,0.07619,0.49123,0.27672,0.25243,0.14285,2.18215,4.16495,0.11229,2.14286,1.6814,0.000755,0.000755,0.000755
82,618.224,1.20843,1.76742,0.22586,0.95093,1.1134,0.36485,0.26845,0.22846,0.0915,0.40619,0.30277,0.24874,0.14684,2.17948,4.04674,0.11609,2.09209,1.67155,0.000748813,0.000748813,0.000748813
83,625.97,1.18611,1.67039,0.21106,0.93979,1.09079,0.36485,0.26845,0.22846,0.0915,0.40619,0.30277,0.24874,0.14684,2.17948,4.04674,0.11609,2.09209,1.67155,0.000742625,0.000742625,0.000742625
84,636.583,1.23846,1.85532,0.20467,0.96117,1.10797,0.39524,0.31849,0.26396,0.10999,0.42765,0.33306,0.28001,0.17195,2.18891,3.88467,0.12098,2.05963,1.64676,0.000736438,0.000736438,0.000736438
85,646.991,1.17309,1.70884,0.17465,0.88671,1.05577,0.3825,0.31506,0.25744,0.106,0.39155,0.32584,0.25974,0.16551,2.21644,3.95228,0.12191,2.15652,1.68482,0.00073025,0.00073025,0.00073025
86,653.52,1.15807,1.64697,0.23401,0.95557,1.0802,0.38948,0.25344,0.24626,0.10304,0.34747,0.28663,0.24078,0.15676,2.25393,4.02796,0.12475,2.18448,1.72668,0.000724062,0.000724062,0.000724062
87,663.382,1.18637,1.66202,0.19005,0.90223,1.07575,0.35267,0.26906,0.22816,0.10504,0.33505,0.25707,0.22347,0.14683,2.24116,4.09372,0.1335,2.20354,1.70074,0.000717875,0.000717875,0.000717875
88,668.69,1.12359,1.57176,0.18357,0.85091,1.04315,0.35267,0.26906,0.22816,0.10504,0.33505,0.25707,0.22347,0.14683,2.24116,4.09372,0.1335,2.20354,1.70074,0.000711687,0.000711687,0.000711687
89,672.867,1.12498,1.59067,0.21698,0.87745,1.05958,0.398,0.22426,0.22759,0.09267,0.39213,0.22201,0.23335,0.16344,2.22768,4.08709,0.14125,2.16801,1.66172,0.0007055,0.0007055,0.0007055
90,683.627,1.12488,1.5835,0.21552,0.86689,1.05349,0.281,0.27782,0.24511,0.10682,0.292,0.28195,0.25218,0.1632,2.10533,4.02462,0.13938,2.04715,1.57663,0.000699312,0.000699312,0.000699312
91,693.852,1.08844,1.55151,0.22275,0.84512,1.06045,0.321,0.34267,0.24289,0.10982,0.31479,0.33136,0.23314,0.15984,2.05555,4.01682,0.13804,2.06277,1.57054,0.000693125,0.000693125,0.000693125
92,701.922,1.10178,1.57519,0.1939,0.83595,1.04884,0.3328,0.30226,0.24013,0.11092,0.32837,0.28373,0.22384,0.14776,2.10287,4.12527,0.12591,2.09372,1.60747,0.000686937,0.000686937,0.000686937
93,707.278,1.13207,1.56426,0.23614,0.95756,1.08444,0.3328,0.30226,0.24013,0.11092,0.32837,0.28373,0.22384,0.14776,2.10287,4.12527,0.12591,2.09372,1.60747,0.00068075,0.00068075,0.00068075
94,712.461,1.08575,1.58456,0.20227,0.82729,1.03906,0.36583,0.30659,0.23965,0.11267,0.3572,0.28781,0.22725,0.15244,2.07301,4.11184,0.116,2.06996,1.59872,0.000674562,0.000674562,0.000674562
95,717.326,1.09186,1.55371,0.20827,0.85004,1.03604,0.31411,0.28491,0.22086,0.10012,0.316,0.28668,0.21279,0.13334,2.1172,4.19987,0.10913,2.096,1.60545,0.000668375,0.000668375,0.000668375
96,722.051,1.14614,1.59582,0.19806,0.85927,1.03408,0.39351,0.28041,0.22006,0.09511,0.38522,0.27498,0.21051,0.14502,2.16182,4.25888,0.10961,2.11662,1.6603,0.000662188,0.000662188,0.000662188
97,730.791,1.09896,1.54301,0.20178,0.85522,1.04321,0.29289,0.28383,0.22522,0.0863,0.28472,0.28726,0.21752,0.13494,2.24961,4.26347,0.10495,2.14918,1.74371,0.000656,0.000656,0.000656
98,738.599,1.06621,1.50542,0.18493,0.81083,1.02653,0.29289,0.28383,0.22522,0.0863,0.28472,0.28726,0.21752,0.13494,2.24961,4.26347,0.10495,2.14918,1.74371,0.000649813,0.000649813,0.000649813
99,742.927,1.09535,1.61214,0.20176,0.8447,1.0456,0.31064,0.25652,0.23112,0.08199,0.44153,0.23587,0.25948,0.13875,2.20663,4.10707,0.10612,2.1244,1.69217,0.000643625,0.000643625,0.000643625
100,749.861,1.1197,1.54234,0.21685,0.87431,1.08563,0.35173,0.28002,0.24242,0.09683,0.34842,0.27839,0.23472,0.1448,2.11781,4.01518,0.11147,2.11945,1.59589,0.000637437,0.000637437,0.000637437
101,754.836,1.00849,1.37794,0.19128,0.78596,1.00915,0.5913,0.2368,0.25684,0.12215,0.52724,0.25037,0.25943,0.16717,2.05919,3.9848,0.11438,2.09471,1.5689,0.00063125,0.00063125,0.00063125
102,763.899,1.01867,1.35711,0.18235,0.77169,0.99899,0.58573,0.27426,0.26484,0.12053,0.55957,0.27657,0.26184,0.16837,2.04428,3.95373,0.11676,2.15823,1.57544,0.000625062,0.000625062,0.000625062
103,779.555,1.05276,1.37729,0.20082,0.80052,1.05465,0.58573,0.27426,0.26484,0.12053,0.55957,0.27657,0.26184,0.16837,2.04428,3.95373,0.11676,2.15823,1.57544,0.000618875,0.000618875,0.000618875
104,791.883,1.05751,1.44902,0.1828,0.77882,1.00801,0.50378,0.29942,0.26941,0.12488,0.49477,0.30033,0.25802,0.17308,2.07378,3.92911,0.11921,2.13303,1.58828,0.000612687,0.000612687,0.000612687
105,800.123,1.06682,1.46158,0.2093,0.78998,1.0111,0.39193,0.31383,0.26268,0.11854,0.37893,0.30648,0.25034,0.16177,2.07694,3.89206,0.12477,2.09732,1.5952,0.0006065,0.0006065,0.0006065
106,805.548,1.02833,1.269,0.16744,0.72744,0.99776,0.37058,0.2855,0.24411,0.09452,0.32639,0.28789,0.22849,0.14176,2.10776,4.03583,0.12991,2.19063,1.64188,0.000600313,0.000600313,0.000600313
