epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,144.552,1.98224,5.81901,0.47054,2.05498,1.49763,0.17638,0.31681,0.14487,0.06461,0.06683,0.15203,0.04248,0.01201,2.48694,6.40418,0.43378,2.7308,1.8428,0.00102106,0.00102106,0.00102106
39,146.545,2.0108,5.89585,0.46897,2.08026,1.52713,0.21677,0.25445,0.16143,0.07704,0.12491,0.10447,0.04877,0.01274,2.4769,6.34446,0.42629,2.71671,1.8247,0.00101488,0.00101488,0.00101488
40,148.713,1.96061,5.7855,0.46118,2.07355,1.4908,0.12438,0.2802,0.13238,0.05051,0.09863,0.10312,0.04619,0.01452,2.47309,6.36391,0.41086,2.7903,1.84694,0.00100869,0.00100869,0.00100869
41,151.359,1.97968,5.79838,0.4637,2.08168,1.53656,0.12438,0.2802,0.13238,0.05051,0.09863,0.10312,0.04619,0.01452,2.47309,6.36391,0.41086,2.7903,1.84694,0.0010025,0.0010025,0.0010025
42,154.711,1.93902,5.68164,0.45052,1.98865,1.45413,0.43623,0.15976,0.10054,0.04436,0.38017,0.09754,0.05426,0.01521,2.4369,6.28263,0.40657,2.887,1.8253,0.000996313,0.000996313,0.000996313
43,158.062,1.92155,5.62767,0.44952,2.00092,1.47986,0.37385,0.16974,0.08936,0.04076,0.34323,0.15057,0.05492,0.01712,2.51724,6.24275,0.40447,3.17667,1.86086,0.000990125,0.000990125,0.000990125
44,160.651,1.97313,5.62041,0.43139,1.99197,1.47295,0.13521,0.19659,0.08048,0.03697,0.10875,0.1774,0.05761,0.01743,2.49403,6.2208,0.39854,3.19906,1.85706,0.000983938,0.000983938,0.000983938
45,162.61,1.97641,5.72545,0.44273,2.02571,1.49255,0.13521,0.19659,0.08048,0.03697,0.10875,0.1774,0.05761,0.01743,2.49403,6.2208,0.39854,3.19906,1.85706,0.00097775,0.00097775,0.00097775
46,164.793,1.86342,5.53467,0.441,1.96436,1.44035,0.19266,0.20993,0.13186,0.04694,0.09727,0.15283,0.0561,0.01511,2.49358,6.21329,0.40741,2.88756,1.85018,0.000971562,0.000971562,0.000971562
47,166.847,1.85882,5.53676,0.44294,1.93642,1.4302,0.21296,0.23696,0.14486,0.05537,0.08779,0.14919,0.05468,0.01373,2.58887,6.28927,0.43414,2.7286,1.93544,0.000965375,0.000965375,0.000965375
48,168.897,1.85933,5.44447,0.43868,1.94488,1.40343,0.23261,0.22452,0.153,0.05846,0.08067,0.18212,0.05317,0.01266,2.58271,6.29915,0.43864,2.61388,1.93568,0.000959187,0.000959187,0.000959187
49,171.538,1.89427,5.53708,0.42238,1.90597,1.42751,0.23261,0.22452,0.153,0.05846,0.08067,0.18212,0.05317,0.01266,2.58271,6.29915,0.43864,2.61388,1.93568,0.000953,0.000953,0.000953
50,174.876,1.89012,5.43528,0.4281,1.92007,1.42301,0.26241,0.17909,0.14646,0.06052,0.07482,0.13662,0.046,0.0139,2.56193,6.22399,0.42638,2.60669,1.90762,0.000946812,0.000946812,0.000946812
51,178.291,1.88023,5.42893,0.44018,1.90862,1.44816,0.2422,0.25273,0.1928,0.06478,0.13954,0.15437,0.09955,0.02599,2.47861,6.13502,0.40627,2.52377,1.86847,0.000940625,0.000940625,0.000940625
52,180.916,1.84553,5.41347,0.41819,1.86319,1.40328,0.29055,0.21439,0.18494,0.07765,0.18792,0.13856,0.08104,0.02258,2.54505,6.11314,0.40356,2.51197,1.95233,0.000934438,0.000934438,0.000934438
53,182.906,1.86146,5.31933,0.40629,1.85521,1.40704,0.29055,0.21439,0.18494,0.07765,0.18792,0.13856,0.08104,0.02258,2.54505,6.11314,0.40356,2.51197,1.95233,0.00092825,0.00092825,0.00092825
54,185.099,1.84267,5.34627,0.41227,1.84583,1.40098,0.23204,0.24013,0.17992,0.06672,0.1344,0.15297,0.11361,0.0338,2.57997,6.13956,0.41462,2.53105,1.98675,0.000922063,0.000922063,0.000922063
55,187.139,1.84128,5.27183,0.40092,1.88545,1.41033,0.21695,0.27264,0.19997,0.07655,0.09975,0.15986,0.0737,0.02667,2.5052,6.12822,0.41499,2.4997,1.9383,0.000915875,0.000915875,0.000915875
56,189.162,1.77604,5.12936,0.40295,1.8088,1.39085,0.14847,0.24797,0.13137,0.05423,0.11062,0.15588,0.08014,0.03065,2.4653,6.02254,0.39003,2.48903,1.89734,0.000909688,0.000909688,0.000909688
57,191.964,1.85996,5.20564,0.40702,1.86313,1.4176,0.14847,0.24797,0.13137,0.05423,0.11062,0.15588,0.08014,0.03065,2.4653,6.02254,0.39003,2.48903,1.89734,0.0009035,0.0009035,0.0009035
58,195.083,1.85289,5.10645,0.40545,1.78814,1.41689,0.27767,0.18469,0.18364,0.05974,0.11807,0.18532,0.0834,0.0329,2.46889,5.96783,0.37212,2.48806,1.8865,0.000897313,0.000897313,0.000897313
59,198.474,1.84204,5.16911,0.39505,1.8151,1.38595,0.23676,0.23199,0.17807,0.06192,0.11109,0.16838,0.07941,0.02724,2.52901,5.92611,0.36204,2.51453,1.93661,0.000891125,0.000891125,0.000891125
60,200.682,1.78538,5.08235,0.40345,1.79649,1.41001,0.24724,0.22051,0.13714,0.05764,0.16491,0.14816,0.12157,0.03615,2.48163,5.89906,0.3559,2.43248,1.90825,0.000884938,0.000884938,0.000884938
61,202.633,1.79197,5.04199,0.38973,1.80727,1.38943,0.24724,0.22051,0.13714,0.05764,0.16491,0.14816,0.12157,0.03615,2.48163,5.89906,0.3559,2.43248,1.90825,0.00087875,0.00087875,0.00087875
62,204.655,1.79247,5.04495,0.39459,1.77602,1.40028,0.25754,0.21874,0.1431,0.05895,0.28218,0.18136,0.16983,0.0491,2.43082,5.84666,0.34597,2.41145,1.85366,0.000872563,0.000872563,0.000872563
63,206.709,1.83173,4.9825,0.38609,1.82414,1.40518,0.20859,0.21224,0.12719,0.05928,0.21889,0.17004,0.12661,0.03577,2.48083,5.81289,0.33271,2.52124,1.89042,0.000866375,0.000866375,0.000866375
64,209.04,1.77345,4.86341,0.38503,1.73645,1.37795,0.22764,0.24822,0.17679,0.06897,0.12078,0.15969,0.07572,0.02547,2.41887,5.76264,0.32267,2.58016,1.86365,0.000860188,0.000860188,0.000860188
65,211.944,1.6666,4.7407,0.38274,1.68575,1.34175,0.22764,0.24822,0.17679,0.06897,0.12078,0.15969,0.07572,0.02547,2.41887,5.76264,0.32267,2.58016,1.86365,0.000854,0.000854,0.000854
66,215.054,1.6939,4.7454,0.38428,1.68203,1.3277,0.23398,0.21868,0.15754,0.06125,0.12036,0.18695,0.07197,0.02414,2.36546,5.74888,0.32074,2.51545,1.82761,0.000847813,0.000847813,0.000847813
67,217.968,1.7731,4.79956,0.38033,1.69484,1.35409,0.24396,0.19044,0.15567,0.05838,0.1197,0.18781,0.07851,0.02248,2.39943,5.81595,0.32662,2.52763,1.83688,0.000841625,0.000841625,0.000841625
68,220.172,1.80234,4.91069,0.35838,1.70598,1.35492,0.14928,0.20993,0.10093,0.03516,0.11625,0.18012,0.10343,0.03138,2.44522,5.78711,0.32314,2.53474,1.84763,0.000835438,0.000835438,0.000835438
69,222.376,1.75051,4.70138,0.37305,1.68634,1.31977,0.14928,0.20993,0.10093,0.03516,0.11625,0.18012,0.10343,0.03138,2.44522,5.78711,0.32314,2.53474,1.84763,0.00082925,0.00082925,0.00082925
70,224.317,1.69385,4.69417,0.36287,1.63189,1.28993,0.14931,0.20934,0.09225,0.03715,0.10419,0.16293,0.06438,0.0246,2.38268,5.75318,0.31523,2.48096,1.81059,0.000823063,0.000823063,0.000823063
71,226.512,1.72546,4.80164,0.37049,1.67596,1.31624,0.20373,0.23009,0.11906,0.04768,0.11221,0.16998,0.07292,0.02885,2.37414,5.72229,0.30509,2.41812,1.78647,0.000816875,0.000816875,0.000816875
72,229.021,1.70986,4.72098,0.36722,1.64033,1.31488,0.24339,0.27144,0.17741,0.06013,0.18496,0.2094,0.10253,0.0328,2.41338,5.66841,0.30146,2.37053,1.81333,0.000810688,0.000810688,0.000810688
73,232.112,1.70798,4.66352,0.3499,1.63657,1.30412,0.24339,0.27144,0.17741,0.06013,0.18496,0.2094,0.10253,0.0328,2.41338,5.66841,0.30146,2.37053,1.81333,0.0008045,0.0008045,0.0008045
74,235.301,1.67671,4.58648,0.3599,1.61325,1.30779,0.26414,0.25374,0.1851,0.07233,0.17322,0.17969,0.09876,0.03855,2.41913,5.61608,0.30495,2.38138,1.81827,0.000798313,0.000798313,0.000798313
75,238.101,1.66548,4.56419,0.38509,1.66417,1.30458,0.23058,0.25766,0.18892,0.06752,0.20493,0.21235,0.16729,0.04824,2.36164,5.55467,0.29982,2.3719,1.77501,0.000792125,0.000792125,0.000792125
76,240.148,1.66677,4.47815,0.35828,1.63154,1.32151,0.20771,0.26233,0.17787,0.08146,0.13622,0.21759,0.11137,0.03864,2.38663,5.54349,0.29398,2.40238,1.77711,0.000785938,0.000785938,0.000785938
